"";"V2";"V3";"V4";"V5";"V6"
"1";1;-0,35807042671235;-0,441909019429995;0,130207223457768;0,0228941623446402
"2";1;-0,417373968591523;-0,421494045798924;0,0920485317419277;0,0396765253774801
"3";1;-0,370627707589903;-0,457411083034879;0,0867687015822365;-0,012343909043638
"4";1;-0,360339904004542;-0,457280376614757;0,0396580443139545;0,0398581186193884
"5";1;-0,360261528027884;-0,457248418080825;0,0397769712036307;0,0405009374989875
"6";1;-0,356534891140723;-0,457661693298088;0,142117423666088;-0,0103570749352801
"7";1;-0,400385283802799;-0,425005435518256;0,112146950786072;0,0195112545866156
"8";1;-0,382283711335566;-0,400270127270777;0,0809747516745481;-0,0010532108173187
"9";1;-0,401133309863375;-0,405267644386398;0,0665991344806587;0,101640772997049
"10";1;-0,379278306965931;-0,458363070360963;0,0908471938698179;-0,0375107899320104
"11";1;-0,350759470274159;-0,413950482557569;0,084963646445117;0,0634331412673358
"12";1;-0,361507305954187;-0,458511043195937;0,129862107937708;-0,0689330525483763
"13";1;-0,407179909653387;-0,439290149437235;0,086551025381137;0,0186190878473489
"14";1;-0,39419523232129;-0,431657971075174;0,0908997178626098;0,0505157086545847
"15";1;-0,399669848752773;-0,44491869485156;0,094216211927699;0,0491423140840522
"16";1;-0,391039295338743;-0,429125323017076;0,0895271433294664;-0,0364875605096575
"17";1;-0,356589247873642;-0,432420169003605;0,108282782189686;0,0766119208936288
"18";1;-0,374948460008726;-0,458393952408591;0,0692721822223584;0,0177056745041975
"19";1;-0,401088434971269;-0,403499269303003;0,0666794584302077;0,104942744529051
"20";1;-0,352590885719879;-0,464733254778579;0,113122570181854;0,00954919705917172
"21";1;-0,409388546629513;-0,433576029130527;0,0863722030164116;0,0189584106242307
"22";1;-0,401899248735588;-0,437357790053541;0,058772051030929;0,0380988808858623
"23";1;-0,351475805104308;-0,452413994722869;0,158757568262247;-0,0964115139792956
"24";1;-0,401620272421321;-0,425797360535482;0,0818685123489886;0,0148872404095706
"25";1;-0,392725624437115;-0,457702540335576;0,0906774736055648;-0,0327525184031429
"26";1;-0,41187255532283;-0,39279740340742;0,0997198045248504;0,0910921372223135
"27";1;-0,405028304765476;-0,436493267064351;0,0868096512392359;0,0174312328724201
"28";1;-0,358602083472271;-0,422305448090395;0,108061350622358;-0,00350655262516279
"29";1;-0,386352577656966;-0,456223230706794;0,0798293425611779;0,0226815905476671
"30";1;-0,353854467790223;-0,468781061925952;0,0894431664926594;-0,0596885252318819
"31";1;-0,405464147533324;-0,434265962458213;0,0959619156175123;-0,0131007632054745
"32";1;-0,37157495127688;-0,454413967936915;0,0866777600425278;-0,0185960636881205
"33";1;-0,398761471626603;-0,431422078245997;0,0835240031481184;0,0218756215568398
"34";1;-0,38953295108036;-0,466766403312389;0,103947933140141;-0,00256162931341277
"35";1;-0,406011229022536;-0,412101300716063;0,0749329232035503;-0,00706029800873692
"36";2;-0,470069656388765;0,394703097678585;0,0508054626445845;0,194768905417917
"37";2;-0,339939027732353;0,396266886843335;0,123069978080909;-0,0614613624089134
"38";2;-0,448314913270391;0,358867938878516;0,00835731139173685;0,228988983240691
"39";2;-0,409642383753981;0,443439222170326;0,0958293261559646;0,160258856613873
"40";2;-0,443749907687642;0,43057578681464;0,0747740208805747;0,177436617720096
"41";2;-0,462156185317633;0,251683742844198;0,0984808587700745;-0,172111030849708
"42";2;-0,452720213325323;0,391184641635717;0,0942330088209082;0,188691157374114
